learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,4,0.5,0.0001,2,256,0.5,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.4577806890010834,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204,0.4577806890010834,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204
0.0001,4,0.5,0.001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4124699831008911,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.40813159942626953,0.6666666865348816,0.5874999761581421,0.0714285746216774,0.5,0.675000011920929,0.125
0.0001,4,0.5,0.001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4551992416381836,0.761904776096344,0.875,0.1666666716337204,1.0,0.75,0.2857142984867096,0.4559154510498047,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394
0.0001,4,0.5,0.001,1,256,0.44999998807907104,0.5714285969734192,0.7749999761581421,0.10000000149011612,1.0,0.550000011920929,0.1818181872367859,0.4513063430786133,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697,0.4513063430786133,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697
0.0001,4,0.5,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.1500692367553711,0.9523809552192688,0.5,,0.0,1.0,,0.14244915544986725,0.7857142686843872,0.4124999940395355,0.0,0.0,0.824999988079071,
0.0001,4,0.5,0.001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.08472748845815659,0.5476190447807312,0.762499988079071,0.095238097012043,1.0,0.5249999761581421,0.17391304671764374,0.08474380522966385,0.5952380895614624,0.7875000238418579,0.10526315867900848,1.0,0.574999988079071,0.190476194024086
0.0001,4,0.5,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.04824083298444748,0.4761904776096344,0.7250000238418579,0.0833333358168602,1.0,0.44999998807907104,0.1538461595773697,0.048420894891023636,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548
1e-05,2,0.1,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5272623896598816,0.4285714328289032,0.4625000059604645,0.0416666679084301,0.5,0.42500001192092896,0.07692307978868484,0.5272623896598816,0.4285714328289032,0.4625000059604645,0.0416666679084301,0.5,0.42500001192092896,0.07692307978868484
1e-05,2,0.1,0.0001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5121299624443054,0.9047619104385376,0.4749999940395355,0.0,0.0,0.949999988079071,,0.5121299624443054,0.9047619104385376,0.4749999940395355,0.0,0.0,0.949999988079071,
1e-05,2,0.1,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5091820359230042,0.5476190447807312,0.2874999940395355,0.0,0.0,0.574999988079071,,0.5091820359230042,0.5476190447807312,0.2874999940395355,0.0,0.0,0.574999988079071,
1e-05,2,0.1,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5254098176956177,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.5254098176956177,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
1e-05,2,0.1,0.0001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5163652896881104,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,,0.5163652896881104,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,
